Name,Category,Sub-Category,Rarity,Properties,Game Effect,Source
Adamantine,Raw Materials,Exotic,Rare,"Hard, Heavy",Critical hits against wearer become normal hits; weapons bypass object damage threshold.,5e SRD
Mithral,Raw Materials,Exotic,Uncommon,"Light, Flexible",Removes Strength requirement for heavy armor; removes disadvantage on Stealth checks.,5e SRD
Cold Iron,Raw Materials,Exotic,Uncommon,"Anti-Fey, Pure",Deals extra damage to Fey and some Fiends; resistant to magical warping.,Pathfinder/d20
Silvered Silver,Raw Materials,Common,Common,"Alchemical, Conductive",Bypasses damage reduction for Lycanthropes and certain Undead.,5e SRD
Darksteel,Raw Materials,Exotic,Rare,"Resilient, Dark",Absorbs electricity; grants Resistance to Lightning damage when worn.,Forgotten Realms
Orichalcum,Raw Materials,Exotic,Very Rare,"Arcane, Resonant",Increases the Save DC of spells cast using this as a focus by +1.,Fantasy Lore
Heliothil,Raw Materials,Exotic,Rare,"Radiant, Solar",Glows in the presence of Undead; deals +1d4 Radiant damage.,Forgotten Realms
Moonsilver,Raw Materials,Exotic,Rare,"Lunar, Shape-shifting",Weapon can be transformed into a different shape as a bonus action.,Fantasy Lore
Byeshk,Raw Materials,Exotic,Rare,"Heavy, Dull",Bypasses damage reduction of Aberrations (Daelkyr-spawn).,Eberron
Meteor Iron,Raw Materials,Exotic,Legendary,"Cosmic, Unstable",Gives weapons a +1 bonus to attack rolls; armor grants Force resistance.,Homebrew
Hizagkuur,Raw Materials,Exotic,Legendary,"Reflective, Magic-Dampening",Reflects 1st-level spells back at the caster on a roll of 20.,Forgotten Realms
Telstang,Raw Materials,Exotic,Rare,"Non-magnetic, Durable",Immune to Heat Metal and magnetic effects.,Forgotten Realms
Zardazik,Raw Materials,Exotic,Very Rare,"Liquid-like, Cold",Weapons deal +1d4 Cold damage; can flow into locks to open them.,Forgotten Realms
Baatorian Green Steel,Raw Materials,Exotic,Rare,"Fiendish, Sharp",Melee weapons deal +1 damage (non-magical).,Planescape
Celestial Steel,Raw Materials,Exotic,Very Rare,"Holy, Light",Deals +1d6 Radiant damage to Fiends and Undead.,Planescape
Arambarium,Raw Materials,Exotic,Rare,"Resonant, Sonic",Enhances Thunder damage by +1d4.,Forgotten Realms
Arandur,Raw Materials,Exotic,Uncommon,"Tough, Blue-tinted",Increases item HP by 50%.,Forgotten Realms
Heliotrope Steel,Raw Materials,Exotic,Rare,"Solar, Vital",Grants +1 to Wisdom (Medicine) checks.,Fantasy Lore
Starmetal,Raw Materials,Exotic,Legendary,"Extraplanar, Powerful",Deals +2d6 damage to extraplanar creatures.,Forgotten Realms
Dwarven Steel,Raw Materials,Common,Uncommon,"Dense, Reliable",Armor grants +1 to AC against being shoved.,Fantasy Lore
Blueleaf,Raw Materials,Flora,Uncommon,"Flexible, Durable",Items made of Blueleaf are immune to fire damage (not the wearer).,Forgotten Realms
Ironwood,Raw Materials,Flora,Rare,"Metal-like, Heavy",Wood that has the strength of steel; can be used for Plate armor.,5e SRD
Duskwood,Raw Materials,Flora,Uncommon,"Shadow, Stealth",Grants +2 to Stealth checks when in dim light or darkness.,Forgotten Realms
Weirwood,Raw Materials,Flora,Very Rare,"Sentient, Arcane",Can hold two enchantments instead of one; emits soft light.,Forgotten Realms
Zalantar,Raw Materials,Flora,Rare,"Dark, Magical",Boosts the range of teleportation spells by 25%.,Forgotten Realms
Silverbark,Raw Materials,Flora,Common,"Holy, Pure",Can be used as a Holy Symbol; grants +1 to Wisdom (Medicine) checks.,Forgotten Realms
Shadowtop,Raw Materials,Flora,Uncommon,"Fibrous, Tough",Ideal for torches; burns 3x longer and emits less smoke.,Forgotten Realms
Hiexel,Raw Materials,Flora,Common,"Brittle, Waxy",Highly flammable; used to create Alchemist's Fire or fire arrows.,Forgotten Realms
Phandar,Raw Materials,Flora,Common,"Curved, Strong",Grants +10ft range to bows made from this wood.,Forgotten Realms
Felsul,Raw Materials,Flora,Uncommon,"Gnarled, Earthy",Items made of Felsul grant +1 to AC against Earth Elementals.,Forgotten Realms
Suth,Raw Materials,Flora,Uncommon,"Hard, Grey",Bows have +1 to attack rolls.,Forgotten Realms
Laspar,Raw Materials,Flora,Common,"Fragrant, Durable",Used for fine furniture and tool handles.,Forgotten Realms
Bronzewood,Raw Materials,Flora,Uncommon,"Metallic, Light",Substitute for metal in medium armor; half weight of steel.,Eberron
Densewood,Raw Materials,Flora,Uncommon,"Heavy, Hard",Increases weapon damage die by one step (max d12).,Eberron
Livewood,Raw Materials,Flora,Rare,"Living, Sentient",Items can be targeted by 'Speak with Plants'.,Eberron
Darkleaf,Raw Materials,Flora,Rare,"Supple, Strong",Light armor made of this has no Stealth disadvantage.,Eberron
Soarwood,Raw Materials,Flora,Very Rare,"Buoyant, Magical",Boats move 50% faster.,Eberron
Eldritch Whorlwood,Raw Materials,Flora,Very Rare,"Twisted, Arcane",Spells cast with this focus ignore half cover.,Eberron
Bloodwood,Raw Materials,Flora,Rare,"Vampiric, Dark",Heals wielder for 1 HP on a critical hit.,Fantasy Lore
